Fund Code,Fund Name,ISIN Code 1,ISIN Code 2,NAV,Unknown1,Unknown2,Date
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.04,,,24-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.05,,,25-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.08,,,28-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.09,,,29-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.16,,,30-Nov-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.25,,,01-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.26,,,02-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.27,,,05-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.22,,,06-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.16,,,07-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.19,,,08-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.10,,,09-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.11,,,12-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.15,,,13-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.20,,,14-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.08,,,15-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.99,,,16-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.04,,,19-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,10.01,,,20-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.93,,,21-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.86,,,22-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.62,,,23-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.77,,,26-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.86,,,27-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.85,,,28-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.87,,,29-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.89,,,30-Dec-2022
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.91,,,02-Jan-2023
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.92,,,03-Jan-2023
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.82,,,04-Jan-2023
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.79,,,05-Jan-2023
149382,Axis Multicap Fund - Regular Plan - Growth,INF846K016E3,,9.69,,,06-Jan-2023
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.07,,,07-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.04,,,09-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.95,,,10-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.02,,,11-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.05,,,14-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.07,,,15-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.05,,,16-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.98,,,17-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.96,,,18-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.89,,,21-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.89,,,22-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,9.93,,,23-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.04,,,24-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.05,,,25-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.08,,,28-Nov-2022
149387,Axis Multicap Fund - Regular Plan - IDCW,INF846K017E1,INF846K018E9,10.09,,,29-Nov-2022
